,Bedroom,Bathroom,Super_area,Carpet_area,Furnished_status,Water_availability,Locality,Age_of_construction,Facing,Tenant,Owner,Floor,Security_deposit,Availability_status,Overlooking,Monthly_charges,Brokerage,Rent,covered_parking,open_parking
0,4.0,4,3000.0,2094.0,Semi-Furnished,12 Hours Available,Mulund,New Construction,North,Bachelors,Agent,15.0,500000,Immediately Not Available,Garden/Park,0,75000,75000,0,0
1,1.0,2,620.0,425.0,Unfurnished,24 Hours Available,Mulund,5 to 10 years,North - East,Family,Agent,5.0,100000,Immediately Available,Garden/Park,0,0,25000,0,0
2,4.0,4,1800.0,1375.0,Semi-Furnished,24 Hours Available,Mulund,New Construction,West,Family,Agent,32.0,500000,Immediately Available,Garden/Park,30000,112500,75000,2,0
3,3.0,3,1848.0,1320.0,Semi-Furnished,24 Hours Available,Mulund,Less than 5 years,North - East,Family,Agent,22.0,250000,Immediately Available,Garden/Park,0,0,75000,1,0
4,3.0,3,1400.0,980.0,Unfurnished,24 Hours Available,Mulund,New Construction,North - East,Bachelors,Agent,7.0,0,Immediately Available,Not Mentioned,0,0,45000,0,0
5,2.0,2,1150.0,710.0,Semi-Furnished,24 Hours Available,Mulund,Less than 5 years,North - West,Bachelors,Agent,7.0,1,Immediately Available,Not Mentioned,0,0,42000,1,0
6,3.0,2,1240.0,825.0,Unfurnished,12 Hours Available,Mulund,Less than 5 years,North - East,Bachelors,Agent,19.0,200000,Immediately Not Available,Garden/Park,0,48000,48000,0,0
7,3.0,3,1696.0,1052.0,Semi-Furnished,12 Hours Available,Mulund,Less than 5 years,North - East,Bachelors,Agent,7.0,300000,Immediately Available,Garden/Park,0,55000,55000,0,0
8,2.0,2,1200.0,690.0,Semi-Furnished,24 Hours Available,Mulund,New Construction,North - West,Bachelors,Agent,7.0,200000,Immediately Available,Main Road,0,40000,40000,0,0
9,3.0,3,1000.0,1160.0,Semi-Furnished,24 Hours Available,Mulund,Less than 5 years,Not Mentioned,Family,Owner,2.0,300000,Immediately Available,Not Mentioned,27000,0,56000,1,0
10,2.0,2,900.0,663.0,Semi-Furnished,24 Hours Available,Mulund,Less than 5 years,West,Family,Agent,12.0,200000,Immediately Available,Main Road,0,39000,39000,1,0
11,3.0,3,1550.0,1000.0,Unfurnished,24 Hours Available,Mulund,New Construction,East,Family,Agent,25.0,250000,Immediately Available,Garden/Park,0,50000,50000,1,0
